,ETF Ticker,Weight,Ticker,Company
0,ARKK,10.7919,TSLA,Tesla Inc
1,ARKK,6.9391,ROKU,Roku Inc
2,ARKK,5.5365,CRSP,CRISPR Therapeutics AG
3,ARKK,5.2848,SQ,Square Inc
4,ARKK,4.3971,TDOC,Teladoc Health Inc
5,ARKK,4.1351,NVTA,Invitae Corp
6,ARKK,3.0948,Z,Zillow Group Inc
7,ARKK,2.8104,PSTG,Pure Storage Inc
8,ARKK,2.7935,PRLB,Proto Labs Inc
9,ARKK,2.7474,SPOT,Spotify Technology SA
10,ARKK,2.6893,EDIT,Editas Medicine Inc
11,ARKK,2.2686,IOVA,Iovance Biotherapeutics Inc
12,ARKK,2.1939,TWLO,Twilio Inc
13,ARKK,2.0888,BIDU,Baidu Inc
14,ARKK,2.0346,EXAS,Exact Sciences Corp
15,ARKK,2.0345,NTLA,Intellia Therapeutics Inc
16,ARKK,2.0234,PYPL,PayPal Holdings Inc
17,ARKK,1.9961,TWST,Twist Bioscience Corp
18,ARKK,1.9556,SHOP,Shopify Inc
19,ARKK,1.8992,DOCU,DocuSign Inc
20,ARKK,1.899,TREE,LendingTree Inc
21,ARKK,1.8449,MTLS,Materialise NV
22,ARKK,1.826,TWOU,2U Inc
23,ARKK,1.7843,PD,PagerDuty Inc
24,ARKK,1.6953,ICE,Intercontinental Exchange Inc
25,ARKK,1.6857,TSM,Taiwan Semiconductor Manufacturing Co Ltd
26,ARKK,1.5132,BEKE,Ke Holdings Inc
27,ARKK,1.3864,NTDOY,Nintendo Co Ltd
28,ARKK,1.3841,VCYT,Veracyte Inc
29,ARKK,1.3573,U,Unity Software Inc
30,ARKK,1.3301,ZM,Zoom Video Communications Inc
31,ARKK,1.1705,MCRB,Seres Therapeutics Inc
32,ARKK,1.1105,PACB,Pacific Biosciences of California Inc
33,ARKK,1.0682,TCEHY,Tencent Holdings Ltd
34,ARKK,1.0526,IRDM,Iridium Communications Inc
35,ARKK,1.0139,SPLK,Splunk Inc
36,ARKK,0.9643,SNPS,Synopsys Inc
37,ARKK,0.9619,SE,Sea Ltd
38,ARKK,0.9169,NSTG,NanoString Technologies Inc
39,ARKK,0.8304,PINS,Pinterest Inc
40,ARKK,0.8276,SSYS,Stratasys Ltd
41,ARKK,0.7474,CERS,Cerus Corp
42,ARKK,0.7446,CGEN,Compugen Ltd
43,ARKK,0.7053,HUYA,HUYA Inc
44,ARKK,0.3108,SYRS,Syros Pharmaceuticals Inc
45,ARKK,0.0675,,
46,ARKK,0.0577,ONVO,Organovo Holdings Inc
47,ARKK,0.0296,XONE,ExOne Co
48,ARKW,10.1054,TSLA,Tesla Inc
49,ARKW,6.1809,ROKU,Roku Inc
50,ARKW,4.2587,SQ,Square Inc
51,ARKW,3.7225,GBTC,Grayscale Bitcoin Trust (Btc)
52,ARKW,3.5415,TDOC,Teladoc Health Inc
53,ARKW,3.1562,SPOT,Spotify Technology SA
54,ARKW,2.8943,PSTG,Pure Storage Inc
55,ARKW,2.6388,TCEHY,Tencent Holdings Ltd
56,ARKW,2.4936,FB,Facebook Inc
57,ARKW,2.2439,SNAP,Snap Inc
58,ARKW,2.1678,PYPL,PayPal Holdings Inc
59,ARKW,2.1577,PINS,Pinterest Inc
60,ARKW,2.1078,SE,Sea Ltd
61,ARKW,2.0986,NFLX,Netflix Inc
62,ARKW,1.9937,SHOP,Shopify Inc
63,ARKW,1.9316,U,Unity Software Inc
64,ARKW,1.9286,Z,Zillow Group Inc
65,ARKW,1.9134,ICE,Intercontinental Exchange Inc
66,ARKW,1.8878,FSLY,Fastly Inc
67,ARKW,1.874,PD,PagerDuty Inc
68,ARKW,1.8537,TREE,LendingTree Inc
69,ARKW,1.8297,TWLO,Twilio Inc
70,ARKW,1.6485,HUYA,HUYA Inc
71,ARKW,1.5363,VCYT,Veracyte Inc
72,ARKW,1.4909,BEKE,Ke Holdings Inc
73,ARKW,1.4436,DOCU,DocuSign Inc
74,ARKW,1.437,TWOU,2U Inc
75,ARKW,1.424,MELI,Mercadolibre Inc
76,ARKW,1.3225,NTDOY,Nintendo Co Ltd
77,ARKW,1.2895,OPEN,Opendoor Technologies Inc
78,ARKW,1.2702,PTON,Peloton Interactive Inc
79,ARKW,1.2586,BABA,Alibaba Group Holding Ltd
80,ARKW,1.2401,TTD,Trade Desk Inc
81,ARKW,1.225,ZM,Zoom Video Communications Inc
82,ARKW,1.1785,API,Agora Inc
83,ARKW,1.1063,JD,JD.Com Inc
84,ARKW,1.0777,HUBS,HubSpot Inc
85,ARKW,1.0647,AAPL,Apple Inc
86,ARKW,1.0454,NET,Cloudflare Inc
87,ARKW,1.033,CRWD,CrowdStrike Holdings Inc
88,ARKW,1.0313,SPLK,Splunk Inc
89,ARKW,1.031,NVDA,NVIDIA Corp
90,ARKW,1.0214,ADBE,Adobe Inc
91,ARKW,0.993,ADYEY,Adyen NV
92,ARKW,0.9734,TEAM,Atlassian Corporation PLC
93,ARKW,0.9713,TSM,Taiwan Semiconductor Manufacturing Co Ltd
94,ARKW,0.943,CRM,Salesforce.Com Inc
95,ARKW,0.9275,LC,LendingClub Corp
96,ARKW,0.8957,SNPS,Synopsys Inc
97,ARKW,0.8822,OKTA,Okta Inc
98,ARKW,0.7573,BIDU,Baidu Inc
99,ARKW,0.6251,NNDM,Nano Dimension Ltd
100,ARKW,0.5886,PLTR,Palantir Technologies Inc
101,ARKW,0.2891,,
102,ARKW,0.0005,SNOW,Snowflake Inc.
103,KOMP,2.6487,VUZI,Vuzix Corp
104,KOMP,2.1625,DDD,3D Systems Corp
105,KOMP,1.797,NNDM,Nano Dimension Ltd
106,KOMP,1.6566,SOL,ReneSola Ltd
107,KOMP,1.651,BLNK,Blink Charging Co
108,KOMP,1.4782,TSLA,Tesla Inc
109,KOMP,1.3181,PLUG,Plug Power Inc
110,KOMP,1.2672,RIOT,Riot Blockchain Inc
111,KOMP,1.1207,GM,General Motors Co
112,KOMP,1.0988,AMBA,Ambarella Inc
113,KOMP,1.0052,FCEL,Fuelcell Energy Inc
114,KOMP,0.9732,STM,STMicroelectronics NV
115,KOMP,0.9359,BLDP,Ballard Power Systems Inc
116,KOMP,0.8759,PACB,Pacific Biosciences of California Inc
117,KOMP,0.853,VC,Visteon Corp
118,KOMP,0.8304,UAVS,Ageagle Aerial Systems Inc
119,KOMP,0.784,NIO,NIO Inc
120,KOMP,0.73,ABB,Abb Ltd
121,KOMP,0.7041,FOSL,Fossil Group Inc
122,KOMP,0.6934,LEA,Lear Corp
123,KOMP,0.6883,SPWR,SunPower Corp
124,KOMP,0.6409,NVDA,NVIDIA Corp
125,KOMP,0.6119,WKHS,Workhorse Group Inc
126,KOMP,0.6085,BRKR,Bruker Corp
127,KOMP,0.6028,MVIS,MicroVision Inc
128,KOMP,0.597,YNDX,Yandex NV
129,KOMP,0.5793,VNE,Veoneer Inc
130,KOMP,0.57,MAXN,Maxeon Solar Technologies Ltd
131,KOMP,0.5627,ORA,Ormat Technologies Inc
132,KOMP,0.5558,LYFT,Lyft Inc
133,KOMP,0.542,DQ,Daqo New Energy Corp
134,KOMP,0.5342,TMO,Thermo Fisher Scientific Inc
135,KOMP,0.5259,NIU,NIU Technologies
136,KOMP,0.5202,GRMN,Garmin Ltd
137,KOMP,0.5178,KLAC,KLA Corp
138,KOMP,0.5178,STLA,Stellantis NV
139,KOMP,0.5166,SEDG,Solaredge Technologies Inc
140,KOMP,0.5119,BIDU,Baidu Inc
141,KOMP,0.5055,MSFT,Microsoft Corp
142,KOMP,0.5027,GOOG,Alphabet Inc
143,KOMP,0.4986,FLIR,FLIR Systems Inc
144,KOMP,0.4977,TM,Toyota Motor Corp
145,KOMP,0.4964,ESLT,Elbit Systems Ltd
146,KOMP,0.4948,AAPL,Apple Inc
147,KOMP,0.4925,F,Ford Motor Co
148,KOMP,0.4836,CAR,Avis Budget Group Inc
149,KOMP,0.4803,APTV,Aptiv PLC
150,KOMP,0.4748,HON,Honeywell International Inc
151,KOMP,0.4701,BILI,Bilibili Inc
152,KOMP,0.4678,FB,Facebook Inc
153,KOMP,0.4649,SNAP,Snap Inc
154,KOMP,0.4632,UBER,Uber Technologies Inc
155,KOMP,0.4474,HY,Hyster-Yale Materials Handling Inc
156,KOMP,0.4424,REZI,Resideo Technologies Inc
157,KOMP,0.4405,TRMB,Trimble Inc
158,KOMP,0.4279,VNT,Vontier Corp
159,KOMP,0.4271,EGHT,8x8 Inc
160,KOMP,0.4217,OSTK,Overstock.com Inc
161,KOMP,0.4177,ON,ON Semiconductor Corp
162,KOMP,0.4147,ANGO,AngioDynamics Inc
163,KOMP,0.4135,NGVT,Ingevity Corp
164,KOMP,0.4127,ALRM,Alarm.com Holdings Inc
165,KOMP,0.4052,CHNG,Change Healthcare Inc
166,KOMP,0.4024,AMSC,American Superconductor Corp
167,KOMP,0.3994,PTC,PTC Inc
168,KOMP,0.3955,AME,AMETEK Inc
169,KOMP,0.3878,NXPI,NXP Semiconductors NV
170,KOMP,0.3871,CSIQ,Canadian Solar Inc
171,KOMP,0.3864,NTES,NetEase Inc
172,KOMP,0.3856,TPIC,TPI Composites Inc
173,KOMP,0.3816,NPTN,NeoPhotonics Corp
174,KOMP,0.3814,ING,ING Groep NV
175,KOMP,0.3792,BE,Bloom Energy Corp
176,KOMP,0.3784,RTX,Raytheon Technologies Corp
177,KOMP,0.3768,ENPH,Enphase Energy Inc
178,KOMP,0.3695,ANSS,ANSYS Inc
179,KOMP,0.3675,AYI,Acuity Brands Inc
180,KOMP,0.3658,SE,Sea Ltd
181,KOMP,0.3551,WORK,Slack Technologies Inc
182,KOMP,0.3548,SSYS,Stratasys Ltd
183,KOMP,0.3539,LMNX,Luminex Corp
184,KOMP,0.3497,AY,Atlantica Sustainable Infrastructure PLC
185,KOMP,0.3474,MASI,Masimo Corp
186,KOMP,0.345,NOVA,Sunnova Energy International Inc
187,KOMP,0.3447,XPER,Xperi Holding Corp
188,KOMP,0.3407,IAC,IAC/Interactivecorp
189,KOMP,0.34,LMT,Lockheed Martin Corp
190,KOMP,0.3381,ADT,ADT Inc
191,KOMP,0.3368,XONE,ExOne Co
192,KOMP,0.3315,SLAB,Silicon Laboratories Inc
193,KOMP,0.3307,SNN,Smith & Nephew PLC
194,KOMP,0.33,QRVO,Qorvo Inc
195,KOMP,0.3261,ADI,Analog Devices Inc
196,KOMP,0.3245,SKM,SK Telecom Co Ltd
197,KOMP,0.3229,AZRE,Azure Power Global Ltd
198,KOMP,0.3177,SAN,Banco Santander SA
199,KOMP,0.3166,JCI,Johnson Controls International PLC
200,KOMP,0.316,FSLR,First Solar Inc
